Lot URL,Lot #,Est. Retail Value,Sale Date,Year,Make,Model,Engine Type,Cylinders,VIN,Title Code,Odometer,Odometer Description,Damage Description,Current Bid,My Bid,Item Number,Sale Name
https://www.copart.com/lotDetail/43981284,43981284,"13,687 USD",Future,2017,BMW,330 XI,2.0L  4,4,WBA8D9G30HNU63019,CERT OF TITLE-SALVAGE COLLISIO,"105,572 A",ACTUAL,NORMAL WEAR,100 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50696704,50696704,"27,423 USD",Future,2006,PORSCHE,CAYMAN S,3.4L  6,6,WP0AB29826U781754,CERT OF TITLE-SALVAGE COLLISIO,"73,218 E",EXEMPT,FRONT END,100 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/49509234,49509234,"18,348 USD",Future,2023,HYUNDAI,ELANTRA SE,2.0L  4,4,KMHLM4AG3PU463334,CERT OF TITLE-SALVAGE COLLISIO,"36,955 N",NOT ACTUAL,FRONT END,275 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/45114534,45114534,0 USD,Future,2013,KIA,OPTIMA SX,2.0L  4,4,5XXGR4A63DG223250,CERTIFICATE OF TITLE,"157,691 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50846594,50846594,"9,851 USD",Future,2012,HONDA,ACCORD LXP,2.4L  4,4,1HGCP2F42CA225423,CERT OF TITLE-SALVAGE COLLISIO,"111,678 A",ACTUAL,REAR END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53465694,53465694,"8,031 USD",Future,2010,HONDA,ACCORD EXL,2.4L  4,4,1HGCP2F8XAA036339,CERT OF TITLE-SALVAGE COLLISIO,"169,861 E",EXEMPT,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53377794,53377794,"10,024 USD",Future,2014,MAZDA,CX-5 TOURI,2.5L  4,4,JM3KE4CY9E0367545,CERT OF TITLE-SALVAGE COLLISIO,"158,560 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53563394,53563394,"5,504 USD",Future,2011,CHEVROLET,EQUINOX LT,2.4L  4,4,2CNFLNEC3B6313437,CERT OF TITLE-SALVAGE COLLISIO,"190,984 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50026864,50026864,"34,389 USD",Future,2018,GMC,SIERRA K15,5.3L  8,8,3GTU2NECXJG430689,CERT OF TITLE-SALVAGE COLLISIO,"88,498 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50132694,50132694,"26,499 USD",Future,2017,GMC,SIERRA K15,5.3L  8,8,3GTU2NEC4HG505705,CERT OF TITLE-SALVAGE COLLISIO,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50202534,50202534,"24,468 USD",Future,2019,CHEVROLET,SILVERADO,4.3L  6,6,1GCRYAEH2KZ302103,CERT OF TITLE-SALVAGE COLLISIO,"62,027 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50322824,50322824,"27,336 USD",Future,2023,VOLKSWAGEN,TAOS SE,1.5L  4,4,3VVVX7B29PM372096,CERT OF TITLE-SALVAGE COLLISIO,"5,389 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50424654,50424654,"20,635 USD",Future,2021,KIA,SELTOS S,2.0L  4,4,KNDEUCAA8M7141429,CERT OF TITLE-SALVAGE COLLISIO,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50664264,50664264,"17,674 USD",Future,2006,CHEVROLET,silverado,6.6L  8,8,1GCHK23D16F186256,CERT OF TITLE-SALVAGE COLLISIO,0 E,EXEMPT,ROLLOVER,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/51941464,51941464,"7,573 USD",Future,2008,GMC,SIERRA K15,4.8L  8,8,2GTEK13C281323722,CERT OF TITLE-SALVAGE COLLISIO,"168,199 E",EXEMPT,FRAME DAMAGE,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53947964,53947964,"15,875 USD",Future,2020,CHEVROLET,MALIBU LT,1.5L  4,4,1G1ZD5ST3LF075401,CERT OF TITLE-SALVAGE COLLISIO,"76,703 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/47336124,47336124,"17,357 USD",Future,2013,NISSAN,FRONTIER S,4.0L  6,6,1N6AD0EV5DN717268,CERT OF TITLE-SALVAGE COLLISIO,"90,995 A",ACTUAL,SIDE,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/46564704,46564704,"13,583 USD",Future,2019,HYUNDAI,ACCENT SE,1.6L  4,4,3KPC24A33KE041482,CERT OF TITLE-SALVAGE COLLISIO,"38,027 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/49270014,49270014,"17,147 USD",Future,2018,FORD,EXPLORER X,2.3L  4,4,1FM5K8DH9JGC21258,CERT OF SALVAGE - WATER DAMAGE,"126,077 A",ACTUAL,WATER/FLOOD,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50605954,50605954,"5,371 USD",Future,2011,SUBARU,OUTBACK 2.,2.5L  4,4,4S4BRBGC8B1417370,CERT OF TITLE-SALVAGE COLLISIO,"231,673 A",ACTUAL,ALL OVER,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50982264,50982264,"6,563 USD",Future,2014,KIA,SORENTO LX,2.4L  4,4,5XYKTCA61EG450925,CERT OF TITLE-SALVAGE COLLISIO,"145,254 A",ACTUAL,ALL OVER,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/51667854,51667854,"6,781 USD",Future,2007,TOYOTA,COROLLA CE,1.8L  4,4,1NXBR32E87Z873423,CERT OF TITLE-SALVAGE COLLISIO,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/51243824,51243824,"3,379 USD",Future,2003,MAZDA,6 I,2.3L  4,4,1YVFP80C735M35758,CERT OF TITLE-SALVAGE COLLISIO,"190,465 E",EXEMPT,REAR END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/47932164,47932164,"14,935 USD",Future,2017,BUICK,ENVISION E,2.5L  4,4,LRBFXDSA3HD221470,CERT OF TITLE-SALVAGE COLLISIO,0 N,NOT ACTUAL,BURN,100 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/49851804,49851804,"16,522 USD",Future,2017,RAM,1500 ST,5.7L  8,8,1C6RR7FT4HS539090,CERT OF TITLE-SALVAGE COLLISIO,"120,967 A",ACTUAL,SIDE,100 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/45903404,45903404,5 USD,Future,2007,TOYOTA,CAMRY CE,2.4L  4,4,JTNBE46K773074868,DEALER ONLY SALVAGE TITLE,"195,204 E",EXEMPT,NORMAL WEAR,0 USD,0 USD,0,ME - WINDHAM
